unclean_title,Date,Title,description,genres,release_year,cast,duration
Made in Abyss: Season 1: The True Nature of the Curse,4/10/24,Made in Abyss,"A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss.",,2020,,
Made in Abyss: Season 1: The City on the Great Pit,4/10/24,Made in Abyss,"A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss.",,2020,,
Made in Abyss: The Golden City of the Scorching Sun: Golden,4/9/24,Made in Abyss,"A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss.",,2020,,
Smile,4/8/24,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",,2022,,
Dark: Season 1: Secrets,4/6/24,Dark,"""Sid has to kill and drink the blood of a human tonight. If he refuses to, he will suffer horrifying consequences""",,2020,,
Classroom of the Elite: Season 2: The Worst Enemy You Can Meet Will Always Be Yourself,4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: Thoughtless Power Crumbles by Its Own Mass,4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: A Man Who Cannot Command Himself Always Remains a Slave,4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
"Classroom of the Elite: Season 2: People, Often Deceived by an Illusive Good, Desire Their Own Ruin",4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: To Not Mend the Fault One Has Made Is to Err Indeed,4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: The Secret Wound Still Lives Within the Heart,4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
"Classroom of the Elite: Season 2: Doubting Everything or Believing Everything Are Two Equally Convenient Solutions, Both of Which Exempt Us From Thinking",4/5/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: Adversity Is the First Path to Truth,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: Every Failure Is a Step to Success,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: The Material Has to Be Created,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: The Greatest Souls Are Capable of the Greatest Vices as Well as the Greatest Virtues,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: There Are Two Main Human Sins From Which All the Others Derive: Impatience and Indolence,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 2: Remember to Keep a Clear Head in Difficult Times,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Little Women: Limited Series: Episode 2,4/4/24,Little Women,Four sisters come of age in America in the aftermath of the Civil War.,,2019,,
Classroom of the Elite: Season 1: Episode 12,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 11,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 10,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 9,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 7,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 8,4/4/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 6,4/3/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 5,4/3/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 4,4/3/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 3,4/3/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 2,4/3/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Classroom of the Elite: Season 1: Episode 1,4/3/24,Classroom of the Elite,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",,2017,,
Bungo Stray Dogs: Fortune Is Unpredictable and Mutable,3/30/24,Bungo Stray Dogs,"A large scale catastrophe is occurring across the planet. Ability users are discovered after the appearance of a mysterious fog, apparently having committed suicide, so the Armed Detective Agency sets out to investigate these mysterious deaths. The case seems to involve an unknown ability user referred to as ""Collector,"" a man who could be the mastermind behind the incident. Trust and courage are put to the test in order to save the city of Yokohama and ability users across the world from the grip of Collector where the Armed Detective Agency forms an unlikely partnership with the dangerous Port Mafia.",,2018,,
Good Will Hunting,3/29/24,Good Will Hunting,"Headstrong yet aimless, Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he secretly solves highly difficult graduate-level math problems, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he gets court-ordered therapy. Eventually, therapist Dr. Sean Maguire helps Will confront the demons that are holding him back.",,1997,,
Child of Kamiari Month,3/28/24,Child of Kamiari Month,"A year after losing her mother, a young girl learns that she must journey across Japan to the annual gathering of gods in the sacred land of Izumo.",,2021,,
The Wonderful Story of Henry Sugar,3/28/24,The Wonderful Story of Henry Sugar,A rich man learns about a guru who can see without using his eyes. He sets out to master the skill in order to cheat at gambling.,,2023,,
El Camino: A Breaking Bad Movie,3/28/24,El Camino,"Two young Nicaraguan children, Saslaya and her mute brother Dario, must travel to Costa Rica to find their long-lost mother.",,2007,,
Little Women: Limited Series: Episode 1,3/28/24,Little Women,Four sisters come of age in America in the aftermath of the Civil War.,,2019,,
Breaking Bad: Season 5: Felina,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Granite State,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Ozymandias,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: To'hajiilee,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Rabid Dog,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Confessions,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Buried,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Blood Money,3/27/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Gliding Over All,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Raees,3/26/24,Raees,"Set in the early ’80s and ’90s in Gujarat, India, ‘Raees’ is a fictitious story of a crime lord named Raees, who builds an entire empire from scratch, and a police officer who is determined to bring him down.",,2017,,
Breaking Bad: Season 5: Say My Name,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Buyout,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Dead Freight,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Fifty-One,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Hazard Pay,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Madrigal,3/26/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 5: Live Free Or Die,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Face Off,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: End Times,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Crawl Space,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Salud,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Bug,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Hermanos,3/25/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Problem Dog,3/24/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Cornered,3/24/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Shotgun,3/24/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Bullet Points,3/24/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Open House,3/24/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Thirty-Eight Snub,3/23/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 4: Box Cutter,3/22/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Ammonite,3/22/24,Ammonite,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",,2020,,
Breaking Bad: Season 3: Full Measure,3/22/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: Half Measures,3/22/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: Abiquiu,3/20/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Pursuit of Happyness,3/20/24,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,,2006,,
Breaking Bad: Season 3: Fly,3/20/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: Kafkaesque,3/19/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: I See You,3/19/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: One Minute,3/19/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: Sunset,3/18/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Fifty Shades Darker,3/18/24,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",,2017,,
Breaking Bad: Season 3: Mas,3/18/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: Green Light,3/17/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: I.F.T.,3/17/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: Caballo Sin Nombre,3/17/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 3: No Más,3/16/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: ABQ,3/16/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: Phoenix,3/15/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Blue Lock: BLUE LOCK: The Stage for the Lead,3/15/24,Blue Lock,"Features a musical adaptation of the popular anime, ""Blue Lock.""",,2023,,
Blue Lock: BLUE LOCK: Donkey,3/15/24,Blue Lock,"Features a musical adaptation of the popular anime, ""Blue Lock.""",,2023,,
Blue Lock: BLUE LOCK: Tri-Fusion,3/15/24,Blue Lock,"Features a musical adaptation of the popular anime, ""Blue Lock.""",,2023,,
Breaking Bad: Season 2: Mandala,3/15/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: Over,3/15/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Maid: Limited Series: Snaps,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: Sky Blue,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: Bear Hunt,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: String Cheese,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: M,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: Thief,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Breaking Bad: Season 2: 4 Days Out,3/15/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Maid: Limited Series: Cashmere,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: Sea Glass,3/15/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: Ponies,3/14/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Maid: Limited Series: Dollar Store,3/14/24,Maid,"Sophie, a woman down on her luck and in need of cash, has an interview as a housekeeper for a seemingly mysterious and wealthy homeowner. She finds the true meaning behind why she is there and decides to retaliate.",,2023,,
Breaking Bad: Season 2: Better Call Saul,3/14/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 5: Episode 10,3/14/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 5: Episode 9,3/14/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Breaking Bad: Season 2: Breakage,3/14/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 5: Episode 8,3/14/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Breaking Bad: Season 2: Negro y Azul,3/13/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: Peekaboo,3/13/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: Down,3/13/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: Bit by a Dead Bee,3/13/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Cook of Castamar: A Place for Everyone,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: Lub-dub,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: What Really Matters,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: The Truth,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: What Is Not to Be,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: So We Are Not Erased,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: Credo Ut Intelligam,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: Where No Light Shines,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: The Decision,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: Fly Away,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: The Night of the King,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Cook of Castamar: The Essential Ingredient,3/12/24,The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,2021,,
The Last Kingdom: Season 5: Episode 7,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 5: Episode 6,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 5: Episode 5,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Breaking Bad: Season 2: Grilled,3/12/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 2: Seven Thirty-Seven,3/12/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 5: Episode 4,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 5: Episode 3,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 5: Episode 2,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 5: Episode 1,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 10,3/12/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Breaking Bad: Season 1: A No-Rough-Stuff-Type Deal,3/12/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 1: Crazy Handful of Nothin',3/11/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 1: Gray Matter,3/11/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
Breaking Bad: Season 1: Cancer Man,3/11/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 4: Episode 9,3/11/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 1,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 10,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 8,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Breaking Bad: Season 1: And the Bag's in the River,3/10/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 4: Episode 7,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 6,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 5,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 4,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
